,Regiao,UF,CNAE,Atendida,CodAssunto,SexoConsumidor,FaixaEtaria,CEP,InscritoDAU
98,Nordeste,RN,6512000.0,1,93.0,F,4,59075210.0,0
99,Nordeste,RN,4774100.0,1,90.0,M,7,59082170.0,0
100,Nordeste,RN,2751100.0,1,94.0,M,4,59015450.0,0
101,Nordeste,RN,4789099.0,1,94.0,M,4,59015450.0,0
102,Sudeste,MG,4781400.0,1,55.0,F,5,38026560.0,0
103,Sudeste,MG,6143400.0,1,259.0,F,6,38020251.0,0
104,Sudeste,MG,4753900.0,1,101.0,M,6,38041050.0,0
105,Sudeste,MG,2640000.0,1,101.0,M,6,38041050.0,1
106,Sudeste,MG,5510801.0,1,76.0,F,6,38057005.0,1
107,Sudeste,MG,4652400.0,1,101.0,F,3,38082686.0,1
108,Norte,RO,6120501.0,1,259.0,M,4,76801530.0,1
109,Norte,RO,6422100.0,0,53.0,M,6,76824350.0,1
112,Norte,RO,4753900.0,0,187.0,F,4,76940000.0,0
113,Norte,RO,4649402.0,0,187.0,F,4,76940000.0,1
117,Norte,RO,4753900.0,1,101.0,F,2,78932000.0,1
118,Norte,RO,2631100.0,1,101.0,F,2,78932000.0,0
119,Norte,RO,4753900.0,0,76.0,F,5,76811368.0,1
120,Norte,RO,6422100.0,1,53.0,M,7,76811482.0,1
122,Norte,RO,6422100.0,0,63.0,M,7,76940000.0,1
123,Norte,RO,6120501.0,1,187.0,M,6,76907604.0,1
124,Norte,RO,4753900.0,1,103.0,F,3,76808002.0,1
125,Norte,RO,4753900.0,1,103.0,F,3,76808002.0,0
126,Norte,RO,2751100.0,1,103.0,F,3,76808002.0,0
127,Norte,RO,6120501.0,1,187.0,M,2,76811482.0,1
129,Norte,RO,6422100.0,0,53.0,M,5,76840000.0,1
130,Norte,RO,3514000.0,0,185.0,M,3,76820830.0,0
143,Norte,RO,3514000.0,0,185.0,M,2,76821510.0,0
147,Norte,RO,6143400.0,1,259.0,F,6,76970000.0,0
148,Norte,RO,6120501.0,1,187.0,F,5,76813868.0,1
149,Norte,RO,5111100.0,1,76.0,F,2,76829210.0,1
150,Norte,RO,7911200.0,0,76.0,F,2,76829210.0,0
152,Norte,RO,3514000.0,1,185.0,F,4,76808052.0,0
160,Nordeste,RN,2751100.0,0,94.0,M,4,59147140.0,0
167,Nordeste,CE,7911200.0,0,76.0,F,5,61900000.0,0
168,Nordeste,RN,4713001.0,1,96.0,M,4,59032500.0,1
169,Nordeste,RN,9521500.0,1,96.0,M,4,59032500.0,1
170,Nordeste,RN,4753900.0,0,93.0,M,5,59129430.0,1
171,Nordeste,RN,4649499.0,0,93.0,M,5,59129430.0,0
173,Nordeste,RN,4110700.0,0,56.0,M,3,59150994.0,1
174,Nordeste,RN,4781400.0,0,55.0,F,4,59064650.0,0
176,Norte,RO,3514000.0,1,185.0,F,5,76823016.0,0
179,Sudeste,MG,4652400.0,1,101.0,F,6,38041402.0,1
180,Sudeste,MG,4763604.0,1,141.0,M,3,38073086.0,1
181,Sudeste,MG,6422100.0,1,76.0,F,6,38080220.0,0
182,Sudeste,MG,6422100.0,1,76.0,F,6,38080220.0,1
183,Sudeste,MG,6422100.0,1,76.0,F,6,38080220.0,0
184,Nordeste,RN,4753900.0,0,141.0,F,3,59141730.0,1
186,Nordeste,RN,8532500.0,0,76.0,F,1,59068070.0,0
187,Nordeste,RN,5111100.0,0,61.0,M,5,59012430.0,0
188,Nordeste,RN,6423900.0,1,54.0,F,5,59088100.0,0
189,Nordeste,RN,6422100.0,0,53.0,M,2,59073250.0,0
193,Sudeste,MG,4744005.0,1,87.0,M,3,38015450.0,0
194,Sudeste,MG,4782201.0,1,90.0,M,6,38067758.0,0
195,Sudeste,MG,6493000.0,1,58.0,F,4,38051402.0,0
197,Sudeste,MG,7490104.0,1,141.0,M,3,38065050.0,0
199,Sudeste,MG,6550200.0,1,76.0,M,6,38270000.0,1
200,Sudeste,ES,6440900.0,1,63.0,F,3,29221760.0,0
201,Sudeste,ES,7740300.0,1,54.0,M,5,29201412.0,1
202,Sudeste,ES,7490104.0,1,76.0,M,3,29215002.0,0
204,Sudeste,MG,6511101.0,1,79.0,F,4,38041044.0,0
205,Sudeste,MG,6120501.0,1,187.0,M,4,38050070.0,0
206,Sudeste,MG,4652400.0,1,101.0,M,4,38060070.0,1
207,Sudeste,MG,6319400.0,1,112.0,F,5,38022190.0,0
209,Sudeste,MG,6120501.0,1,187.0,M,2,38025180.0,0
211,Nordeste,RN,8532500.0,0,69.0,F,2,59035210.0,1
217,Nordeste,RN,6120501.0,0,101.0,M,2,59080170.0,0
218,Nordeste,RN,4781400.0,0,101.0,M,2,59080170.0,0
220,Sudeste,MG,6422100.0,0,125.0,M,3,39442366.0,1
221,Sudeste,MG,4789099.0,0,125.0,M,3,39442366.0,0
223,Sudeste,MG,7490104.0,0,132.0,F,2,39442482.0,0
224,Sudeste,MG,4753900.0,0,101.0,M,2,38301092.0,1
225,Sudeste,MG,6190601.0,1,54.0,M,3,38303263.0,0
227,Sudeste,MG,2910701.0,1,131.0,M,3,38300234.0,0
228,Sudeste,MG,3514000.0,1,185.0,M,4,38307420.0,1
230,Sudeste,SP,6422100.0,1,63.0,F,6,8543310.0,0
231,Sudeste,RJ,6541300.0,0,76.0,M,6,23087380.0,1
234,Sudeste,RJ,4713001.0,0,120.0,F,3,23580070.0,0
235,Sudeste,RJ,2759799.0,1,95.0,F,6,20771000.0,0
236,Sudeste,RJ,7911200.0,1,276.0,F,6,25550520.0,0
237,Sudeste,RJ,6143400.0,1,259.0,F,7,22710560.0,0
238,Sudeste,RJ,6512000.0,0,92.0,M,6,21044420.0,0
239,Sudeste,RJ,6143400.0,1,259.0,F,6,22270007.0,0
240,Sudeste,RJ,6512000.0,1,92.0,F,4,26185660.0,0
243,Sudeste,MG,7911200.0,1,157.0,F,5,38017130.0,0
244,Sudeste,MG,5111100.0,1,157.0,F,5,38017130.0,0
245,Sudeste,MG,6422100.0,1,54.0,M,3,38038379.0,0
246,Sudeste,MG,8532500.0,1,76.0,F,2,38026010.0,1
247,Sudeste,MG,6511101.0,1,282.0,F,3,38050430.0,1
250,Sudeste,MG,8299799.0,1,76.0,M,3,38050060.0,0
251,Sudeste,MG,7490104.0,1,141.0,M,2,38040450.0,0
253,Sudeste,SP,6422100.0,0,54.0,F,6,2842260.0,0
254,Sudeste,SP,7490104.0,1,112.0,F,3,4337160.0,0
255,Sudeste,SP,6470101.0,0,76.0,F,4,4862010.0,0
256,Sudeste,SP,6110801.0,1,187.0,F,6,4419090.0,1
257,Sudeste,SP,6512000.0,0,56.0,M,3,8151580.0,0
258,Sudeste,SP,6422100.0,0,53.0,M,3,8151580.0,0
260,Sudeste,MG,6422100.0,0,54.0,M,4,36415000.0,1
262,Sudeste,MG,2593400.0,0,97.0,F,3,36415000.0,0
266,Sudeste,MG,3514000.0,1,185.0,M,4,37500186.0,1
267,Sudeste,SP,6319400.0,0,187.0,M,3,2752070.0,0
268,Sudeste,SP,6511101.0,1,79.0,M,6,2467010.0,1
269,Sudeste,SP,6511101.0,1,79.0,M,1,4928050.0,1
270,Sudeste,SP,4783101.0,1,132.0,M,2,8253720.0,0
271,Sul,PR,8291100.0,1,106.0,M,2,86400000.0,0
272,Sul,PR,4651601.0,1,187.0,F,5,86400000.0,0
273,Sul,PR,4755503.0,1,54.0,F,2,86400000.0,0
274,Sul,PR,1414200.0,1,283.0,F,2,86400000.0,0
275,Sul,SC,2622100.0,1,101.0,F,5,89270000.0,0
277,Sul,SC,4669999.0,0,125.0,M,4,89266270.0,0
282,Sudeste,MG,4753900.0,1,99.0,M,2,37750000.0,1
283,Sudeste,MG,6462000.0,1,99.0,M,2,37750000.0,0
284,Sudeste,ES,2622100.0,0,101.0,F,3,29908245.0,0
285,Sudeste,ES,8610102.0,0,284.0,M,6,29904230.0,0
292,Centro-oeste,MT,8532500.0,1,233.0,F,2,78850000.0,1
294,Sudeste,SP,6542100.0,0,76.0,F,2,5765160.0,0
295,Sudeste,SP,6110801.0,0,186.0,M,2,4427000.0,1
297,Sudeste,SP,4651601.0,1,101.0,F,3,13214206.0,0
298,Sudeste,SP,4651601.0,1,101.0,M,3,2271050.0,0
299,Sudeste,SP,4651601.0,0,101.0,M,2,7197040.0,0
300,Sudeste,SP,4761001.0,0,106.0,F,2,4162001.0,0
301,Sudeste,SP,4651601.0,0,101.0,F,2,5843290.0,0
302,Sudeste,SP,6422100.0,0,53.0,M,4,9610000.0,1
306,Sudeste,RJ,6143400.0,1,259.0,M,7,25561410.0,0
308,Sudeste,RJ,6431000.0,1,76.0,F,3,21866290.0,0
309,Sudeste,RJ,4753900.0,0,120.0,F,4,20531080.0,1
310,Sudeste,RJ,6511101.0,0,69.0,M,7,27950062.0,1
311,Sudeste,RJ,6422100.0,1,286.0,F,4,27946280.0,0
312,Sudeste,RJ,6110801.0,0,187.0,F,5,27920180.0,1
314,Sudeste,RJ,3701100.0,0,183.0,M,6,27953290.0,0
317,Centro-oeste,GO,4110700.0,0,81.0,F,3,74690115.0,0
318,Centro-oeste,GO,6821801.0,0,81.0,F,3,74690115.0,1
319,Centro-oeste,GO,7911200.0,0,76.0,M,4,74575110.0,0
321,Centro-oeste,GO,4721102.0,0,76.0,F,2,74890729.0,0
322,Centro-oeste,GO,6613400.0,0,102.0,F,6,74485200.0,0
323,Centro-oeste,GO,6190601.0,0,102.0,F,6,74485200.0,0
324,Centro-oeste,GO,5310501.0,0,102.0,F,6,74485200.0,0
325,Centro-oeste,GO,6319400.0,0,102.0,F,6,74485200.0,0
326,Centro-oeste,GO,6422100.0,0,102.0,F,6,74485200.0,1
327,Sudeste,SP,6120501.0,1,187.0,F,3,17014300.0,1
328,Sudeste,SP,6436100.0,1,55.0,F,2,17026560.0,0
329,Sudeste,SP,8220200.0,0,76.0,M,5,17026710.0,0
330,Sudeste,SP,8211300.0,1,97.0,M,4,17021840.0,1
331,Sudeste,SP,4782201.0,0,132.0,M,4,17056020.0,0
332,Sudeste,SP,4789099.0,1,97.0,M,6,17066150.0,0
333,Sudeste,SP,6511101.0,1,79.0,F,5,17057391.0,1
334,Sudeste,SP,2632900.0,1,101.0,F,6,17021380.0,0
335,Sudeste,SP,6462000.0,1,96.0,F,3,17063094.0,0
336,Sudeste,SP,7420001.0,0,76.0,F,6,17031398.0,0
338,Sudeste,SP,6511101.0,1,79.0,F,5,17025774.0,0
342,Sul,SC,6110801.0,1,187.0,F,6,88780000.0,1
343,Sul,SC,6422100.0,0,54.0,F,5,88780000.0,0
344,Sul,SC,6422100.0,1,54.0,M,5,88780000.0,0
345,Sul,SC,6110801.0,0,101.0,F,5,88780000.0,1
346,Sul,SC,6512000.0,0,147.0,M,4,88780000.0,0
347,Sul,SC,3600601.0,1,183.0,M,6,88780000.0,0
350,Sul,SC,7911200.0,0,76.0,M,3,89295000.0,0
351,Sul,SC,7911200.0,0,76.0,M,3,89295000.0,0
362,Sudeste,SP,4110700.0,0,83.0,M,2,4849030.0,0
363,Sudeste,SP,6110801.0,1,186.0,M,2,5046001.0,1
364,Sudeste,SP,9430800.0,1,258.0,M,7,5568070.0,0
365,Sudeste,SP,6422100.0,0,69.0,M,5,3175070.0,0
366,Sudeste,SP,4652400.0,0,101.0,F,4,7140140.0,0
367,Sudeste,SP,6512000.0,0,66.0,M,4,5874030.0,0
368,Sudeste,SP,5310501.0,0,182.0,M,3,4115000.0,0
369,Sudeste,SP,6431000.0,1,54.0,F,3,6764030.0,0
370,Sudeste,SP,6512000.0,0,79.0,M,5,3463080.0,0
371,Sudeste,SP,4753900.0,0,69.0,F,6,4419010.0,1
372,Sudeste,SP,8291100.0,0,76.0,M,3,3336040.0,0
374,Sudeste,SP,6120501.0,1,187.0,F,7,5577000.0,1
376,Sudeste,SP,4761001.0,0,235.0,M,4,4231015.0,0
377,Sudeste,SP,6110801.0,0,186.0,F,6,5709010.0,1
378,Sudeste,SP,6110801.0,1,186.0,M,6,4860120.0,1
379,Sudeste,SP,6422100.0,0,53.0,M,6,8191380.0,0
380,Sudeste,SP,6110801.0,0,186.0,F,4,3311000.0,1
382,Sudeste,SP,6120501.0,0,186.0,M,3,7435200.0,1
386,Centro-oeste,GO,6423900.0,1,54.0,M,3,75860000.0,1
387,Centro-oeste,GO,4753900.0,0,102.0,M,2,75860000.0,0
388,Centro-oeste,GO,4753900.0,0,102.0,M,2,75860000.0,1
389,Centro-oeste,GO,2622100.0,1,102.0,M,2,75860000.0,0
390,Centro-oeste,GO,3600601.0,0,183.0,F,6,75860000.0,1
391,Centro-oeste,GO,4789099.0,1,103.0,F,3,75860000.0,0
392,Centro-oeste,GO,2824102.0,1,92.0,F,3,75550000.0,1
394,Nordeste,RN,4771701.0,1,218.0,F,3,59074370.0,0
395,Norte,RO,2759799.0,1,288.0,M,4,76980000.0,1
396,Norte,RO,4711301.0,1,288.0,M,4,76980000.0,0
397,Norte,RO,6110801.0,0,187.0,M,4,76985332.0,1
398,Norte,RO,6120501.0,0,187.0,M,3,76829747.0,1
400,Norte,RO,5111100.0,0,276.0,M,3,76811003.0,1
401,Norte,RO,7911200.0,0,276.0,M,3,76811003.0,0
402,Sudeste,RJ,3514000.0,0,185.0,F,4,27915000.0,1
403,Sudeste,RJ,1093701.0,1,45.0,F,3,27930120.0,0
404,Sudeste,RJ,6110801.0,1,186.0,M,5,27971679.0,1
405,Sudeste,RJ,6613400.0,1,54.0,F,5,27972170.0,0
406,Sudeste,RJ,6619399.0,0,57.0,M,2,28735000.0,0
407,Sudeste,RJ,8220200.0,0,57.0,M,2,28735000.0,0
417,Sudeste,SP,6422100.0,0,53.0,F,2,8663400.0,0
418,Sudeste,SP,4511101.0,0,131.0,M,3,5765240.0,0
419,Sudeste,SP,8640202.0,0,203.0,F,3,8246065.0,0
421,Sudeste,SP,6511101.0,0,69.0,F,7,4235120.0,1
422,Sudeste,SP,6422100.0,1,53.0,F,5,2934000.0,0
423,Sudeste,SP,6511101.0,1,79.0,F,3,8030710.0,0
424,Sudeste,SP,6422100.0,0,53.0,F,2,3077010.0,0
425,Sudeste,ES,8599604.0,0,234.0,M,2,29212080.0,0
426,Sudeste,ES,9430800.0,1,63.0,F,5,29217130.0,0
427,Sudeste,ES,6422100.0,1,54.0,F,4,29211116.0,0
428,Sudeste,ES,8291100.0,1,54.0,F,4,29211116.0,0
429,Nordeste,PB,6436100.0,1,53.0,F,4,58070520.0,0
430,Nordeste,PB,3600601.0,1,183.0,F,4,58000000.0,1
431,Nordeste,PB,6110801.0,1,187.0,M,4,58028230.0,1
433,Sudeste,SP,6422100.0,0,53.0,F,5,5798290.0,0
435,Sudeste,SP,6120501.0,1,187.0,M,6,4863190.0,1
436,Sudeste,SP,6110801.0,1,187.0,F,7,3279250.0,1
437,Sudeste,SP,4110700.0,0,81.0,M,3,5885210.0,0
438,Sudeste,SP,8211300.0,1,132.0,M,3,13030580.0,0
440,Sudeste,RJ,8531700.0,1,233.0,M,1,27961068.0,1
442,Sudeste,RJ,4110700.0,0,82.0,F,4,27963571.0,1
450,Sudeste,RJ,3514000.0,1,185.0,M,3,27930845.0,1
451,Sudeste,SP,8291100.0,0,106.0,F,2,3945000.0,0
453,Sudeste,SP,6512000.0,0,69.0,F,6,4911030.0,0
454,Sudeste,SP,6120501.0,1,186.0,F,3,3272080.0,1
455,Sudeste,SP,7711000.0,0,264.0,F,2,3077000.0,0
456,Sudeste,SP,6422100.0,0,63.0,M,6,5267050.0,0
457,Sudeste,SP,6422100.0,1,54.0,M,3,8160390.0,1
458,Sudeste,SP,6422100.0,0,63.0,M,7,68590000.0,0
459,Sudeste,SP,6462000.0,0,93.0,F,4,4156090.0,0
460,Sudeste,SP,4744099.0,0,124.0,F,6,8775420.0,0
463,Sudeste,RJ,4744099.0,1,122.0,F,3,27998000.0,0
464,Sudeste,RJ,3514000.0,1,185.0,M,3,27953440.0,1
465,Sudeste,RJ,6423900.0,0,53.0,F,4,27948080.0,1
467,Sudeste,RJ,2751100.0,1,94.0,F,6,27920010.0,0
468,Sudeste,RJ,4789099.0,1,54.0,M,3,27965085.0,0
469,Sudeste,RJ,6422100.0,1,54.0,M,3,27965085.0,0
470,Sudeste,RJ,2751100.0,1,93.0,M,4,27900000.0,0
471,Sudeste,SP,6110801.0,1,186.0,M,6,8130050.0,1
472,Sudeste,SP,6120501.0,1,186.0,F,2,3728000.0,1
473,Sudeste,SP,4110700.0,1,81.0,F,5,5549240.0,0
474,Sul,RS,2751100.0,1,94.0,M,3,94836020.0,0
476,Centro-oeste,MS,3514000.0,0,185.0,M,7,79240000.0,1
477,Centro-oeste,MS,3514000.0,0,185.0,M,7,79230000.0,1
478,Centro-oeste,MS,3514000.0,0,185.0,M,7,79240000.0,1
479,Centro-oeste,MS,3514000.0,0,185.0,F,6,79240000.0,1
480,Centro-oeste,MS,4713001.0,1,101.0,F,4,79230000.0,0
481,Centro-oeste,MS,4652400.0,1,101.0,F,4,79230000.0,1
482,Centro-oeste,MS,3514000.0,0,185.0,M,4,79240000.0,1
483,Centro-oeste,MS,3514000.0,0,185.0,M,6,79240000.0,1
484,Centro-oeste,MS,3514000.0,0,185.0,F,5,79240000.0,1
485,Sudeste,SP,3514000.0,0,185.0,F,5,8560060.0,0
486,Sudeste,SP,6462000.0,1,106.0,F,2,13564420.0,0
487,Sudeste,SP,4651601.0,1,102.0,F,2,8223350.0,0
489,Centro-oeste,GO,8411600.0,1,183.0,M,3,75690000.0,0
490,Centro-oeste,GO,4110700.0,1,81.0,M,5,75690000.0,0
491,Centro-oeste,GO,4753900.0,1,250.0,M,5,75687502.0,1
492,Centro-oeste,GO,4711302.0,1,101.0,M,3,75689633.0,0
493,Centro-oeste,GO,2632900.0,1,101.0,M,3,75689633.0,0
494,Centro-oeste,GO,2751100.0,1,93.0,F,5,75689231.0,0
495,Centro-oeste,GO,4753900.0,1,93.0,F,5,75689231.0,0
496,Sudeste,SP,6422100.0,0,53.0,F,6,8030740.0,1
497,Sudeste,SP,3104700.0,1,100.0,F,3,6401160.0,0
498,Sudeste,SP,6110801.0,1,186.0,M,4,3430030.0,1
499,Sudeste,SP,6436100.0,0,63.0,M,6,4852320.0,0
500,Sudeste,SP,6110801.0,0,187.0,M,6,3259000.0,1
501,Sudeste,SP,6422100.0,1,54.0,M,5,4347180.0,0
502,Sudeste,SP,4755503.0,0,69.0,F,7,1316030.0,0
503,Sudeste,SP,6440900.0,0,53.0,M,7,4914110.0,0
504,Sudeste,SP,3520401.0,0,184.0,F,6,3021040.0,0
505,Sudeste,SP,6110801.0,0,186.0,F,5,5783130.0,1
506,Sudeste,RJ,9430800.0,1,261.0,M,5,27901000.0,0
507,Sudeste,RJ,6511101.0,1,69.0,M,6,27966660.0,0
508,Sudeste,SP,7319004.0,0,207.0,M,3,14811622.0,0
509,Sudeste,SP,4110700.0,0,82.0,F,4,2859230.0,0
510,Sudeste,SP,7911200.0,0,276.0,F,4,3951110.0,0
511,Sudeste,SP,6462000.0,1,100.0,M,3,9131130.0,0
512,Sudeste,SP,6512000.0,0,66.0,M,4,1522000.0,0
514,Sudeste,SP,6462000.0,1,97.0,F,4,3654020.0,0
515,Sudeste,SP,3104700.0,1,100.0,M,4,5466040.0,0
516,Sudeste,RJ,3514000.0,1,185.0,F,3,27973240.0,1
517,Sudeste,RJ,6110801.0,1,186.0,M,3,27965085.0,1
518,Sudeste,SP,6821802.0,1,80.0,M,2,14050230.0,0
519,Sudeste,SP,7319003.0,0,218.0,F,3,14021615.0,0
520,Centro-oeste,GO,6493000.0,1,57.0,M,2,74973390.0,0
521,Sudeste,SP,4713001.0,0,54.0,F,6,3712003.0,1
522,Sudeste,SP,6110801.0,1,187.0,F,2,1501020.0,1
523,Sudeste,SP,6209100.0,1,102.0,M,2,2811050.0,0
524,Sudeste,SP,6422100.0,0,54.0,M,6,5756290.0,1
526,Sudeste,SP,6143400.0,1,186.0,F,5,2858020.0,0
527,Sudeste,SP,8291100.0,1,96.0,M,2,8717630.0,0
528,Sudeste,SP,4651601.0,1,102.0,F,4,8720380.0,0
531,Sudeste,RJ,6110801.0,1,186.0,F,7,27910000.0,1
532,Sudeste,RJ,6512000.0,1,282.0,F,6,27945250.0,0
533,Sul,SC,2751100.0,1,92.0,F,3,89266300.0,1
534,Sul,SC,9430800.0,1,76.0,F,5,89260875.0,0
535,Sul,SC,6422100.0,1,76.0,M,6,89254400.0,0
536,Sul,SC,4744004.0,1,87.0,M,3,89270000.0,0
537,Sul,SC,9430800.0,1,69.0,F,5,89259310.0,0
538,Sul,SC,6423900.0,1,54.0,M,2,89265520.0,1
539,Sul,SC,6462000.0,1,106.0,M,5,89252550.0,0
540,Nordeste,RN,6511101.0,0,92.0,F,6,59094220.0,1
541,Nordeste,RN,2751100.0,0,92.0,F,6,59094220.0,1
542,Nordeste,RN,4771701.0,0,96.0,F,6,59054795.0,0
543,Nordeste,RN,2640000.0,0,96.0,F,6,59054795.0,1
544,Nordeste,RN,4651601.0,1,101.0,F,3,59144375.0,0
545,Nordeste,RN,9511800.0,1,101.0,F,3,59144375.0,0
548,Centro-oeste,MT,3514000.0,0,185.0,M,3,78360000.0,1
549,Sudeste,SP,2512800.0,0,256.0,F,3,2301100.0,0
550,Sudeste,SP,6423900.0,0,76.0,F,3,8370220.0,1
551,Sudeste,SP,6120502.0,0,187.0,M,4,8370160.0,0
552,Sudeste,SP,2640000.0,1,96.0,M,2,9190670.0,1
553,Sudeste,SP,6110801.0,1,186.0,M,4,12460000.0,1
554,Sudeste,SP,6209100.0,1,102.0,F,6,2977230.0,0
555,Sudeste,SP,6492100.0,1,62.0,F,3,8330320.0,0
556,Sudeste,SP,3514000.0,1,185.0,M,3,15400000.0,0
557,Centro-oeste,MT,4652400.0,1,101.0,F,4,78700000.0,1
559,Centro-oeste,MT,4713001.0,1,101.0,F,4,78700000.0,0
562,Sudeste,SP,3514000.0,0,185.0,F,4,8539300.0,0
563,Sudeste,SP,6110801.0,1,187.0,F,7,4911005.0,1
564,Sudeste,SP,2829199.0,1,126.0,M,3,13209355.0,0
565,Sudeste,SP,8413200.0,0,157.0,F,3,9942098.0,0
566,Sudeste,SP,4782201.0,0,132.0,M,2,6023060.0,0
567,Sudeste,SP,2949299.0,0,129.0,F,3,4011060.0,0
568,Sudeste,SP,6319400.0,1,186.0,M,4,3063000.0,0
569,Sudeste,SP,4651601.0,0,101.0,M,3,6335050.0,0
571,Sudeste,SP,6462000.0,0,126.0,F,2,16050177.0,0
572,Sudeste,SP,6422100.0,0,53.0,M,3,6770300.0,0
573,Sudeste,SP,4754701.0,0,126.0,M,3,4128080.0,1
574,Sudeste,SP,6436100.0,0,63.0,M,7,5884010.0,0
575,Sudeste,SP,6436100.0,0,54.0,M,5,3570480.0,0
576,Sudeste,SP,6422100.0,1,53.0,M,7,5209290.0,1
577,Sudeste,SP,4110700.0,0,81.0,M,6,5134340.0,0
578,Sudeste,SP,3514000.0,0,185.0,F,4,7436040.0,0
579,Sudeste,SP,2621300.0,0,102.0,F,5,5101330.0,1
580,Sudeste,SP,6436100.0,0,54.0,F,4,5659020.0,0
581,Sudeste,SP,6422100.0,0,53.0,M,5,8230450.0,1
582,Sudeste,SP,4651601.0,1,101.0,M,3,13380003.0,0
583,Sudeste,SP,4647802.0,1,106.0,M,6,8070480.0,0
585,Sudeste,SP,6511101.0,0,79.0,F,3,5858003.0,0
586,Sudeste,SP,4651601.0,1,101.0,F,4,5795210.0,0
588,Centro-oeste,GO,4711301.0,0,93.0,M,4,75000000.0,0
589,Centro-oeste,GO,6512000.0,0,93.0,M,4,75000000.0,0
591,Centro-oeste,GO,7490104.0,1,141.0,M,4,75000000.0,0
592,Sul,SC,2910701.0,1,89.0,F,4,89261520.0,0
